type,date,body,comments,link
🔴 #BuenaNoticia 🤗,10 h," COMPAÑIA DE BOMBERO RECIBIÓ DONACIONES DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO La Corte Superior de Justicia del Callao donó un total de 30 bienes entre equipos de sonido, accesorios, frazadas, cuadros, lectoras de CD, balón de oxígeno y otros a la Compañía de Bomberos Perú-18. Asimismo, la presidenta de la Corte del Callao, Flor Guerrero Roldán señaló que la finalidad es educar, brindar ayuda social y que las instituciones siempre estén coordinando y dándose la mano.  De igual manera, el representante de la Compañía de Bomberos Perú-18, brigadier Miguel Corral Moyer indicó que esta donación significativa complementa a la anterior donde recibieron vehículos para realizar un curso de rescate vehicular e incendios, y resaltó el apoyo incondicional hacia la Corte del Callao en temas de capacitaciones sobre planes de emergencia y simulacros. 📲 Suscríbete a nuestra comunidad informativa gratis ‼️ Prensa Chalaca ➡️ https://bit.ly/31cZloB y ten acceso 👀 a contenido exclusivo y grandes beneficios. #Callao #Bellavista #LaPerla #LaPunta #CarmenDeLaLegua #Ventanilla #MiPerú", · PúblicoMaria Elena Gomez ValleTambién necesitan. Sus movilidades. Que estén ok ..las mangueras que los  señores bomberos hacen maravillas.  Para tapar lo huecos ...y sus ropas..que usan. Están gastados .....muchas veces los señores bomberos salen a vender sus calcomonias.  Para poder subsanar. Esas  cosas.  Hay mucha gente que los ignoran....señores cuando vean a un señor bombero vendiendo sus rifas. Y sus calcomanias colaboren los ..ellos dan la vida ....en un incendio..... APOYEMOS1 · hace 5 horasIsabel RodriguezMuy bonito gesto Felicitaciones.🙏❤hace 8 horasSari SariK bueno pero también es necesario trajes que protegen a estos bomberos en los accidentes antes las llamasHace 1 horaRenzo Espa BolaciniFelicitacioneshace ,https://mobile.facebook.com/prensachalaca/posts/1960866817437532?comment_id=5968489816500955&__cft__[0]=AZWJADBzkdMw0BAyPfjvKRdWPELLeQB98ZYe_GNVDtoSAnhJ_Qji8HZKZG0dY1NFkfQHSTyKOTjmzNpR5ffEbbIIC3uje3UjAWN6CCR2F-r12rE32GzgoDdT8X1vH6ElcBq-I6sqqLHgaXE5tlwAYhkqdVJDoQ6GO-Ccw44hbPOQw09PijGB_h_8wnezvIerVtw&__tn__=R]-R
🔴 #Atención 📣,10 h," EL CALLAO REGISTRÓ UNA ""NOCHE EXTREMADAMENTE FRÍA"" POR DEBAJO DE LOS 15 °C El Servicio Nacional de Meteorología e Hidrología del Perú informó que el Callao registró nuevamente bajas temperaturas nocturnas hoy, y que son consideradas como ""noches extremadamente frías"". Asimismo, la entidad indicó que la capital y el primer puerto alcanzan alta sensación de frío en las mañanas debido a la alta humedad. ""Lima y Callao presentaron bajas temperaturas nocturnas. Estaciones registraron temperaturas mínimas de 14°C (Jesús María), 12.5 °C (La Molina) y 15 °C (El Callao) conforme al aviso meteorológico"", indicó el Senamhi por medio de Twitter. ""Lima y Callao amanecieron con sensación de frío. Estaciones registraron alta humedad relativa 90 % (La Molina), 92 % (Jesús María), 76 % (Ancón), 100 % (Villa María del Triunfo), y 88 % (El Callao)"", añadió la entidad. 📲 Suscríbete a nuestra comunidad informativa gratis ‼️ Prensa Chalaca ➡️ https://bit.ly/31cZloB y ten acceso 👀 a contenido exclusivo y grandes beneficios. #Callao #Bellavista #LaPerla #LaPunta #CarmenDeLaLegua #Ventanilla #MiPerú"," · PúblicoJorge Lozanoprimicia calentita.. en invierno hace frío..hace 7 horasEmii H'pPrefiero el frío de Lima que de huancayo JAJAJAJAJAJA1 · hace 5 horasSantiago SantamariaOe prensa chalaca son bien sanos..  Ovio que hace frío y baja la temperatura, pues estamos en la estación, no tienes noticias realmente importantes que dar. Que hablar del climahace ",https://mobile.facebook.com/prensachalaca/posts/1960893230768224?comment_id=614931179535537&__cft__[0]=AZV4qzDADvJAbxPiERR4A_QRuHFuUZ54A6omkCQvFD_xEa5uj4J6pjff_3_NxwbeqpAnkPUGip634IZre9Q6HpskDjGRBr_yWh_6HYgQc2QMngwKLe6YOuZo2IoxdMPuj2bmczzr6o3mgu9KUOcO1o_vzKEIirHzBgOfnxTSgRdqexyvVwPy9NTfvv5kY17R6g8&__tn__=R]-R
🔴 #LoÚltimo,11 h," MINEDU: UNIVERSIDADES REGRESAN A PRESENCIALIDAD COMPLETA DESDE EL SEMESTRE 2022-II‼️ El Ministerio de Educación ha ordenado que los centros de educación superior, así como escuelas de posgrado, reanuden sus servicios y con ello la presencialidad completa según la modalidad autorizada en su licencia institucional desde el próximo semestre, es decir, el 2022-II. Mediante la resolución ministerial N° 076-2022-Minedu, se derogaron las disposiciones que tenían las universidades públicas y privadas de volver a clases presenciales de forma gradual debido al Covid-19. 📲 Suscríbete a nuestra comunidad informativa gratis ‼️ Prensa Chalaca ➡️ https://bit.ly/31cZloB y ten acceso 👀 a contenido exclusivo y grandes beneficios. #Callao #Bellavista #LaPerla #LaPunta #CarmenDeLaLegua #Ventanilla #MiPerú", · PúblicoKaren T. Palomino RamirezY para los que trabajan y a las justas entran a las clases x celular 🧐15 · hace 10 horasAngelo PolackRetrocediendo👎... La virtualidad tiene sus ventajas.21 · hace 9 horasRosa Mercedes Ruidias MuñozLos hospitales essalud las postas para cuándo no jodan es lo más importante en la salud del peruano como puede ser posible que paguemos médico particular nos operen en la calle los médicos ahí atienden presencial porque pagamos la educación la salud en el Perú es lo más importante así que señor ministro de salud haga levantamiento sanitario para la salud de los peruanos mucho relajo Alós médicos7 · hace 9 horasMiguel GallardoLos hospitales ya deberian atender al 100%.6 · hace 9 horasRoxana Gamarra RuedaY los hospitales y  essalud para cuando hay atención presenciales ya es hora no les pareces necesitamos que nos atiendan2 · hace 3 horasNicolsita QuispeY los institutos?3 · hace ,https://mobile.facebook.com/prensachalaca/posts/1960871087437105?comment_id=427893605628067&__cft__[0]=AZWZJEGQ7aMAoHJE6W2fjUw8ALH_Mjp1-LrdtIkIBC5Thxo_O4r29Q_DYrv47m5Fi2yEy0p3mKaPa2C5Tv0SrWNaO1pzT5ApRLboEhIz94e09_Ma1IMvb_9kL69_UtTt91IN-IE9HkyrYRyohGB2P2RX4Mk2CQ4gWzjr5rQmCKW95UYvlmDHF9ww7Jg0EuZucsA&__tn__=R]-R
🔴 #LoÚltimo,11 h," CINEPLANET ES CRITICADO POR ADVERTENCIA SOBRE ""IDEOLOGÍA DE GÉNERO"" DE PELÍCULA DE LIGHTYEAR‼️ La película Buzz Lightyear se estrenó hace unos días en Perú, sin embargo esta cinta animada ha llamado mucho la atención por mostrar una escena de un beso entre dos personas del mismo sexo. Esto ha llevado a la cadena de cines Cineplanet a que haga la advertencia tanto en su web como en las salas, generando diversas críticas por su comunicado. ""La historia del origen de Buzz Lightyear, el héroe que inspiró el juguete, y que nos da a conocer al legendario Guardián Espacial que acabaría contando con generaciones de fans. (Contiene escenas con ideología de género)"", se puede leer en la web. Asimismo, apareció una foto de un cartel donde se compran las entradas, y donde se logra leerlo siguiente: ""Advertencia de película. ¡Atención! Te informamos que la película Lightyear tienen escenas de ideología de género"". 📲 Suscríbete a nuestra comunidad informativa gratis ‼️ Prensa Chalaca ➡️ https://bit.ly/31cZloB y ten acceso 👀 a contenido exclusivo y grandes beneficios. #Callao #Bellavista #LaPerla #LaPunta #CarmenDeLaLegua #Ventanilla #MiPerú"," · PúblicoHector Alberto Campos ZavalaTotalmente de acuerdo con la información , ya que como padre nos da una advertencia sobre el producto (película) que nos ofrece y ya es desición de nosotros si consumimos o no para nuestros hijos ....ojo respetando el pensamiento y ideología de los demás!512 · hace ",https://mobile.facebook.com/prensachalaca/posts/1960853840772163?comment_id=278937517750918&__cft__[0]=AZXTMYQI2-E_iVY1ye5FLiEWX3uu70nBNlqvGW9Psr3t0wVZ68yRKFG3cBOrxpwWqsRNgBDJEB1V6l8wsupvxA4WHuEoUoaV4dfWrhTBdFIXu2x2iCNZ9JT6F7kdEWn4JR2gJyvhOvlXZftk86TYpX_EJegIKDOLJMEfc7KCW_WtSCt4PVhuTo-Al4K3oDK2CSw&__tn__=R]-R
,12 h,"🔴 MARÍA DEL CARMEN ALVA TRAS DECLARACION DE PEDRO CASTILLO: ""EL QUE NADA DEBE, NADA TEME""‼️ La presidenta del Congreso, María del Carmen Alva, consideró que lo mejor para el mandatario Pedro Castillo es que ""se ponga a derecho"". Esto en referencia a la concurrencia del jefe de Estado a la sede del Ministerio Público para brindar manifestación por la investigación que sigue el despacho del fiscal de la Nación, Pablo Sánchez, en su contra.  ""Me parece muy bien. Lo mejor para él (Pedro Castillo) y para el país es que se investigue, que se ponga a derecho, que se esclarezca todo. El que nada debe, nada teme, y que diga toda la verdad"", mencionó a la prensa. 📲 Suscríbete a nuestra comunidad informativa gratis ‼️  ➡️ https://bit.ly/31cZloB y ten acceso 👀 a contenido exclusivo y grandes beneficios. #Callao #Bellavista #LaPerla #LaPunta #CarmenDeLaLegua #Ventanilla #MiPerú"," · PúblicoJerry Lla EtaSi.. lo mejor es que se le investigue.. y mucho mejor para el país es que está miserable deje el cargo y dejé de trabajar solo a favor del empresariado.1 · hace 8 horasPiter Anderson Juarez AlcaldeCuando le tocara a ella por las denuncias de sedición 🧐5 · hace 11 horas1 respuestaInma Orz BrmzElla no ha visto el caso De la de bolivía Va a termínar así como ella3 · hace 11 horasEddy MaresY según tu..cual es la verdad..dictadora congresal... Socia de ka chika..hace 10 horasUlises Marcos Gómez QuiñonezTu tambien ponte a derecho con el burro1 · Ayer a las 16:05Rhony ChingaElla es la mujer mas honesta de este pais..no se metan con ella..hace 11 horasTeofilo Moreno SotoY porque blindan a los jueces?5 · Ayer a las 16:01Doris SamanamuAl igual que ustedes!!hace 8 horasRafael Elias Navarrete MontenegroEntre verdades siempre estan las frases ocultas veremos que pasa , pero El sabe sino es una tactica psicologicahace 3 horasJose Abel Vera CabrejosEs. Esta. Que. Se. Caga. De. Miedo.   Nuevas. Elecciones. Y.  Sa acava. Todo.  O. De. Repente. Hay. Un. Golpe. De. Estado. Ydos. Jodimos. Todos. Es. Una. Opinión.hace 8 horas Ver más comentarios…",https://mobile.facebook.com/prensachalaca/posts/1960785127445701?comment_id=417931890041384&__cft__[0]=AZW_g-f2xt0B8mUoHUeA9XU656m8b-h7x-33pfUGH-Uipps7Y8Wg_ZqZrd_Z7MLLY7XQFEfvtEcBDfAcEQdoKkXz2y9UNRuyX6T_SFosu5tlT8g-KmoYAk7fgNmZP2HDEtx_wOnxTBcwtZuypAfRRnATcbbY8KvD084-DOlKPGw8Brmgd8fA0ehthqnMIY1bKF8&__tn__=R]-R
,13 h,"🔴 FALLECE FUNDADOR DEL GRUPO GLORIA, VITO RODRÍGUEZ A LOS 83 AÑOS‼️ El Grupo Gloria anunció que el socio fundador de las empresas del conglomerado económico, así como miembro del Directorio de éstas, Vito Rodríguez Rodríguez, falleció a los 83 años. Asimismo, a través de un hecho de importancia emitido a la Superintendencia del Mercado de Valores se anunciaron que las empresas del Grupo Gloria mantendrán la misma línea de conducción, bajo los mismos principios y políticas con los que ha venido operando hasta la fecha. “Junto a él y bajo su liderazgo nos esmeramos día a día por construir un Perú de oportunidades, apostándole al desarrollo con emprendimiento y gran pasión por el trabajo. Vito, como buen arequipeño, siempre fue el amigo, el consejero, el hombre que, con humildad y calidez, mantuvo cercanía con las personas que le rodearon, ganando un lugar en el corazón de todo aquel que compartió con él”, señala el comunicado emitido por el Grupo Gloria. 📲 Suscríbete a nuestra comunidad informativa gratis ‼️  ➡️ https://bit.ly/31cZloB y ten acceso 👀 a contenido exclusivo y grandes beneficios. #Callao #Bellavista #LaPerla #LaPunta #CarmenDeLaLegua #Ventanilla #MiPerú"," · PúblicoAlberto Quispe BenavidesQue descanse en paz, pero su empresa es un engaño y encima la más cara, solo en este país lleno de corruptos es que siguen en el mercado estafando y llenando sus bolsillos. Pero si aún existe esta empresa es gracias a que los consumidores la siguen comprando, nos encanta que nos metan el dedo.Editado · 27 · hace 11 horas5 respuestasJorge Luis Zamora EscalanteSRS CON TODO RESPETO UNA PREGUNTA SE LLEVO SU FORTUNA NADA DE NADA POR LA AVARICIA DEL HOMBRE CAMBIA SU ALMA POR LA RIQUEZA DE 50 60 70 80 90 AÑOS TERRENALES POR LA ETERNIDAD Y LO PEOR DE TODO VAN A SER JUZGADO PARA BIEN O PARA MAL VIVIR EN EL PARAISO ETERNAMENTE O EN EL INFIERNO PARA SIEMPRE SEGUN SEAN TUS OBRAS SIN HACER DAÑO A TU PROJIMO HAY QUE REFLEXIONAR A DONDE IREMOS5 · hace 5 horas4 respuestasEduardo RamirezCuántas personas salieron adelante gracias a este noble hombre🕊️2 · hace 11 horasEmilio Miguel Wiener MoralesEl que vendía leche que no es leche, amigo del grande capo AG.20 · hace 11 horas1 respuestaEver Nay Jan GyukY ahora va subir la leche para los peruanos paguemos su entierro joder8 · Ayer a las 15:213 respuestasOfelia CorreaUmmmmmm Q E P D aunq se lleno los bolsillo a costa de la gente pobre de los ganaderos q pena ahora será juzgado por el de arriba6 · hace 8 horasLuis Guillermo Acaro BernaY dónde está la noticia ! No jodan este sr se hizo millonario a costillas del pueblo vendiendo pura leche trafa !1 · hace 2 horasGilberto GarciaTenía comprado a todo el peru , nunca lo acusaron de nada hasta que los panameños lo desenmascararon6 · hace 4 horasGiuseppe AmauLa gente quejándose si es que no es leche, que si paga poco a los ganaderos ! Que si esto que si lo otro! Creen su su marca de leche y dejen De jod ! 🤡🤡🤡12 · Ayer a las 15:1117 respuestasFlorencia Cancho VivancoQue falta hará al pueblo peruano después de inrrequeserse con productos de pésima calidad, Dios que se apiade de su actuar. Lección, nadie se va de este mundo junto con las riquezas adquiridas de mala o buena fuente. Aprendamos a vivir en paz, tener lo necesario.2 · hace 7 horas Ver más comentarios…",https://mobile.facebook.com/prensachalaca/posts/1960779457446268?comment_id=1097599180793942&__cft__[0]=AZVpsFMOjug8DmWWKgk355nDftUqTINM3pRsJOaKz-PZohp5EWJMjFtvWkx3KJHDluhAFhaUICVHqe6B6dCdhmoNmu1XKxWL9YcCoGpeZ6i9gXTD4RxbRgWp6qNbgs5Q_3Lyvi8bpOT-ky_zds2lQExqLhlaB1gagsNOEvtrqYDJF4mYqePGczZKNSRcEELg6TE&__tn__=R]-R
🚨 #AlertaPCH,13 h," BUZÓN SIN TAPA CONTINÚA SIN SER REPARADO‼️ Hace un tiempo informamos sobre un accidente, donde un adulto mayor cayó a un buzón sin tapa en Jr. Atahualpa cdra.15 en La Perla frente al colegio Timoran. Sim embargo, pese a los pedidos por solucionar esta problemática, las autoridades correspondientes no han arreglado el buzó ubicado frente al parque Casapia. Asimismo, esta área es muy concurrida por niños, quienes corren el peligro de sufrir algún accidente. En esa línea, los vecinos nos comentan que se a convertido en una zona muy infecciosa. Sedapal 👉🏼 Imágenes enviadas a nuestra central de noticias 📲 970 778 961.Reproducir video", · PúblicoCesar AlfaroY solo ahi asi estan en varias cuadras .ya tienen tiempo asihace 2 horasRichard RampLA CORRUPCIÓN EN EL CALLAO ES TAN FUERTE QUE NADIE COMPONE NADA TODO ESTA ARREGLADO SE NOTA A LA LEGUA NI QUE FUERAMOS GILES1 · hace 5 horasYimi CastigadorSi la gente de la obra cierran con cinta de peligro obras la misma gente lo sacan de la perla no respetan y pasan los accidentes ahora la solución es que vuelvan haser para añadir concreto de quejas cualquiera lo hase pero eso sí dejen trabajar ala gente de la obra no lo plomeen ni los extorsionenhace 6 horasRoberto Franco Feliziani SotoY así dice cumple con metas  pero veo ninguna mejora en esto que pasee por la perla y se de cuenta de realidad  las obras que realizado convenio región y MTChace 6 horas,https://mobile.facebook.com/prensachalaca/posts/1960703477453866?comment_id=805871087075084&__cft__[0]=AZWGHaXULtzEBaGtoQey7hBuWf2USZnyd4DYJ6XX00h9c8VGA8WbtZXwI5ajGrG5CdiBBZCuq7i-e1dc5D7UoyFgc29tfbptlYbTAkopkXVs396GjC5YeCyMceIdhuJm6R_GI01M0GE58dMfkh3TEbRHjBjtGpa3hbN3SvLzXX1ei_DUPLU-pLIE8FhLVnvlaGI&__tn__=R]-R
,15 h,"🙏🏼 Padre Santo, en este día llenanos de tu amor y guianos por el camino del bien. 🙏🏼 #Callao #Bellavista #LaPerla #LaPunta #CarmenDeLaLegua #Ventanilla #MiPerú", · PúblicoMaria MendozaAmén y Amen1 · Ayer a las 13:36Aracelli Raquel Torres BustillosAmén 🙏🙏🙏1 · hace 10 horasKatia Lizbeth GonzalesAmén 🙏Ayer a las 13:29Yessenia GonzalesAmén 🙏 🙏 🙏media0.giphy.commedia0.giphy.comhace 11 horasErika Marisol Andia HurtadoAmén 🙏🙏Ayer a las 13:36Mirtha PacosoncoAmenAyer a las 12:13Juan FloresAmen mi señor jesus 🙏❤Hace un momentoAlejandrina Pastor MaldonadoAmenAyer a las 12:33Hector Ramirez VillegasAménAyer a las 12:57Cristina Zeña SilvaAmén 🙏Ayer a las 12:30 Ver más comentarios…,https://mobile.facebook.com/prensachalaca/posts/1960603667463847?comment_id=338980421748969&__cft__[0]=AZWPfv77KsxlBhFJs0aHQmC8BUwD_I2W6b5psV_cCQ2R_QWyrfvztjiryYMxtNnKOREFXdRgAHqCJdnyNOc-bqAmKzoPL4S1HVWUFLGtvZXwGOeNMdoXhkFb-Df_WgOcB28iiNE6IWkmqOTqiziZWC2TnzH6Hi_W3O_DeCKZauP2vQVpWiQOnz-sH-Vlo4PR0EE&__tn__=R]-R
🔴 #Espectáculos ✨,Ayer a las 23:15," JAZMÍN PINEDO A MAGALY MEDINA: ""ME VOY A DIRIGIR A UNA DE LAS PEORES ENTREVISTADORAS DEL PAÍS"" La conductora de televisión Jazmín Pinedo le respondió fuerte y claro a Magaly Medina, quien en su programa cuestionó su entrevista con el futbolista Jefferson Farfán. La popular ‘Chinita’ calificó a Magaly como la peor entrevistadora del Perú, y es que, la conductora no tuvo reparos en señalar punto por punto su inconformidad con las declaraciones de Medina, quien dejo entrever que Jazmín solo quería “gilear” al deportista. ""Me voy a dirigir a una de las peores entrevistadoras de este país, y eso no lo digo yo, lo dicen sus productores que en algún momento han trabajado conmigo (...) Yo no necesito apagar las cámaras para mostrarme tal y como soy, yo al público le he hablado de mis virtudes y defectos siempre"", indicó la conductora. 📲 Suscríbete a nuestra comunidad informativa gratis ‼️ Prensa Chalaca ➡️ https://bit.ly/31cZloB y ten acceso 👀 a contenido exclusivo y grandes beneficios. #Callao #Bellavista #LaPerla #LaPunta #CarmenDeLaLegua #Ventanilla #MiPerú"," · PúblicoAngie GisellNo se si se dieron cuenta pero estaba leyendo todo lo que decía y encima se agitaba 🙄89 · Ayer a las 00:136 respuestasJulissa VasquezChina tu no le llegas ni a los talones a Magali y deja de repetir lo que te dicen, respira para que no te sigas agitando21 · Ayer a las 12:072 respuestasMaria Luz Moina RealUbícate ,si Magaly Medina fuera mala entrevistadora no tendría 25 años en la televisión103 · Ayer a la 01:1414 respuestasMarianella Angela Arguedas PeñaMagaly a la de todo el mundo no va parar hasta que le agan una denuncia por meterse. En problemas no es ni bonita cuantos arreglos tiene la señora Magaly primero se deve fijar en ella y después ablar del resto antes fue fea y ahora por que tiene arreglos por todas partes de que a la esa señora un poco de respeto alas personas5 · hace 11 horas1 respuestaHernán Calderón TorresAhí esta la ""Super Estrevistadora""Reproducir videohace 6 horas4 respuestasJennifer PajueloHasta farfán se dio cuenta por eso se alejaba de jazmin ya todos nos dimos cuenta de sus intenciones58 · viernes a las 23:413 respuestasHenry Clavijo PerezLa china será mala entrevistadora y todo lo que quieran pero dijo algo muy cierto Magaly es pésima entrevistando les invito a ver cualquiera de sus  entrevistas, lo hace mal y cuando el entrevistado no es de su agrado o se resiste a caer en su juego; la saca de sus casillas y le gana las emociones. Ahí es cuando ella empieza a cuestionar y criticar de mala forma a sus ""invitados"" lo hace todo el tiempo. Repito véanlo ustedes mismos.Editado · 28 · Ayer a las 02:184 respuestasSanPao CabreraLiñan😅ya hablo la mujer mas honesta del pais 🤣 ay china ni tu misma te la crees.26 · Ayer a la 01:24Raquel Castillón SullcaBien que fuiste asentar ahí asu set eras puro dientasos esos productores maleterosoa que valen si van hablar después de darle trababajo32 · viernes a las 23:20Ximena ShantalJazmin Pinedo que ridículo eres payasa de esquina cállate ,Magali Medina tiene en tv 25años jajajaja y tú jajajaja4 · hace 8 horas Ver más comentarios…",https://mobile.facebook.com/prensachalaca/posts/1960188904171990?comment_id=1020204378670077&__cft__[0]=AZV8EU21ItGdvl_cIYQUbNj-vnOWH8-pqPXPHH3IwCEHjIYqxI-zXnxsmnQZ3U-t-NkhLhKBO_1Bi6sRLHfirdd62NirtvVlIL8JokgjipA9i3WvvgNSELttpcdoQ7SbfwAesZ2glb_oWJGpRIJ1eXXRcPpHcXaOy2jmluPxCi0leuChGMuXaxIpiMl6wu3GrtM&__tn__=R]-R
🔴 #LoÚltimo,Ayer a las 22:45," MIEMBROS DE MESA RECIBIRAN PAGO POR REALIZAR DICHA LABOR EN LAS ELECCIONES 2022 La Oficina Nacional de Procesos Electorales anunció que para que estas Elecciones Regionales y Municipales 2022 del domingo 2 de octubre, se les pagará a los miembros de mesa un monto de 115 soles, que es equivalente a 2.5% de una UIT. Asimismo, el 24 de julio se realizará el sorteo de miembros de mesa y se estima que serán un total de 500 mil.  A partir de agosto, se publicará la lista de los ciudadanos que han sido elegidos miembros de mesa, indicó el subgerente de investigación electoral de la ONPE, José Carlos Urbina. Luego se habilitarán los canales de capacitaciones presenciales y digitales a través de la ONPE. 📲 Suscríbete a nuestra comunidad informativa gratis ‼️ Prensa Chalaca ➡️ https://bit.ly/31cZloB y ten acceso 👀 a contenido exclusivo y grandes beneficios. #Callao #Bellavista #LaPerla #LaPunta #CarmenDeLaLegua #Ventanilla #MiPerú"," · PúblicoAngel LLanos BazanSi pagan,ojalá me llamen para miembro de mesa.6 · viernes a las 23:005 respuestasKarin BIOjalá no hagan el mismo fraude q hicieron para q gane el prosor1 · hace 11 horas4 respuestasFavio Nz DzAsí hasta en eso ha bajado, antes era 120,  con gusto volvería a ser presidente de mesa. Es muy entretenido y el atún es buenazo5 · Ayer a la 01:49Jefferson Cardosa Arrojo115 soles!!!!! Que estafa!!!!!!1 · Ayer a las 14:13Mithzy MishellOjalá esta vez vuelva a salir elegida🤭🤭🤭🤭Editado · 2 · viernes a las 23:19Cesar EscobarCon las justas les dan un chancay y un frugo de a Sol Siempre es lo mismo.. La plata destinada se la meten al bolsillo los sinvergüenzas1 · Ayer a las 13:47Isabel RodriguezDebería ser aparte del pago un buen menú para  los miembros de mesa lo digo porque he  participado  y no se sabe a que hora se va a  terminar todo el conteo.Ayer a las 06:51Andrea Vergaray GhiggoYa era hora debe ser mas su menu taypa2 · Ayer a las 00:152 respuestasCarmen Rossell AliquinLes pagarán para el año 2026Ayer a las 00:18Teofilo Moreno SotoNunca pagaron el anterior elecciones3 · viernes a las 22:465 respuestas Ver más comentarios…",https://mobile.facebook.com/prensachalaca/posts/1960142987509915?comment_id=5215863458495042&__cft__[0]=AZUhuQs2i2Wki9615oQuBIgScHTm1apkP81xm3gPSvYUd6_W0k5t2pBlWGQA2E96FRqnkytxBebHHty5KzirPMcoM8zLIjuP2S9xDN0rxH0pNZn_azKJ0VMUtnwV37_q5z29MX2Kx-OrUP1I_8MThxBW8l2NkuzpWbgWE3cCwU4zrcGQOJbrysTEghwKCjlImoI&__tn__=R]-R
